"id","exchange_id","rate_close","rate_high","rate_low","rate_open","time_close","time_open","time_period_end","time_period_start"
86772,"BTC","26747.107379870","26756.500361346","26697.271649139","26697.271649139","2023-05-22 05:29:00+00","2023-05-22 05:00:00+00","2023-05-22 05:30:00+00","2023-05-22 05:00:00+00"
86773,"BTC","26759.591704850","26793.381958913","26735.585423836","26747.735193328","2023-05-22 05:59:00+00","2023-05-22 05:30:00+00","2023-05-22 06:00:00+00","2023-05-22 05:30:00+00"
86774,"BTC","26889.755478127","26891.599744378","26759.458705344","26759.458705344","2023-05-22 06:29:00+00","2023-05-22 06:00:00+00","2023-05-22 06:30:00+00","2023-05-22 06:00:00+00"
86775,"BTC","26827.455534363","26909.755158650","26819.748033508","26899.443487228","2023-05-22 06:59:00+00","2023-05-22 06:30:00+00","2023-05-22 07:00:00+00","2023-05-22 06:30:00+00"
86776,"BTC","26836.405630301","26850.252916564","26799.531024811","26824.392794936","2023-05-22 07:29:00+00","2023-05-22 07:00:00+00","2023-05-22 07:30:00+00","2023-05-22 07:00:00+00"
86777,"BTC","26847.574908800","26874.919232106","26840.285228601","26850.566036840","2023-05-22 07:59:00+00","2023-05-22 07:30:00+00","2023-05-22 08:00:00+00","2023-05-22 07:30:00+00"
86778,"BTC","26871.258108583","26897.792274999","26839.790667387","26847.614522655","2023-05-22 08:29:00+00","2023-05-22 08:00:00+00","2023-05-22 08:30:00+00","2023-05-22 08:00:00+00"
86779,"BTC","26832.627102327","26879.100100256","26832.627102327","26865.806594993","2023-05-22 08:59:00+00","2023-05-22 08:30:00+00","2023-05-22 09:00:00+00","2023-05-22 08:30:00+00"
86780,"BTC","26866.515187744","26890.118611770","26830.465841369","26830.465841369","2023-05-22 09:29:00+00","2023-05-22 09:00:00+00","2023-05-22 09:30:00+00","2023-05-22 09:00:00+00"
86781,"BTC","26867.475997857","26870.841838625","26833.876951653","26864.837382271","2023-05-22 09:59:00+00","2023-05-22 09:30:00+00","2023-05-22 10:00:00+00","2023-05-22 09:30:00+00"
86782,"BTC","26846.465017417","26880.000010667","26845.176966984","26866.140913620","2023-05-22 10:29:00+00","2023-05-22 10:00:00+00","2023-05-22 10:30:00+00","2023-05-22 10:00:00+00"
